JOURNAL,edit
"in D. K. Hayes, J. E. Pauly and R. J. Reiter, eds., Chronobiology: Its Role in Clinical Medicine, General Biology, and Agriculture. Part B. Wiley-Liss, Inc.","in D. K. Hayes, J. E. Pauly and R. J. Reiter, eds., Chronobiology: Its Role in Clinical Medicine, General Biology, and Agriculture. Part B. Wiley-Liss, Inc."
"in D. K. Hayes, J. E. Pauly and R. J. Reiter, Eds. Chronobiology: Its Role in Clinical Medicine, General Biology, and Agriculture. Part B. Wiley-Liss, Inc.","in D. K. Hayes, J. E. Pauly and R. J. Reiter, Eds. Chronobiology: Its Role in Clinical Medicine, General Biology, and Agriculture. Part B. Wiley-Liss, Inc."
"in D. Greenland, Ed., The Climates of the Long-Term Ecological Research Sites. Occasional Paper No. 44. Institute of Arctic and Alpine Research, University of Colorado.","in D. Greenland, Ed., The Climates of the Long-Term Ecological Research Sites. Occasional Paper No. 44. Institute of Arctic and Alpine Research, University of Colorado."
In D,In D
in D,in D
"in C. G. Jones and J. H. Lawton, Eds., Linking Species and Ecosystems","in C. G. Jones and J. H. Lawton, Eds., Linking Species and Ecosystems"
"in B. A. Hawkins and W. Sheehan, Eds., Parasitoid Community Ecology. Oxford University Press, Oxford, UK.","in B. A. Hawkins and W. Sheehan, Eds., Parasitoid Community Ecology. Oxford University Press, Oxford, UK."
In 0,In 0
Imaging Notes,Imaging Notes
Illiesia,Illiesia
Illahee,Illahee
IETE Technical Review,IETE Technical Review
IEEE Transactions on Geoscience and Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
Ieee Transactions on Geoscience and Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
IEEE Transactions of Geoscience and Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
IEEE Transactions in Geosciences and Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
IEEE Trans. Geosci. Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING
"IEEE Intelligent Systems (AI, e-government, and politics 2.0)","IEEE Intelligent Systems (AI, e-government, and politics 2.0)"
IEEE Geosciences and Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
IEEE Geoscience and Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing
Icthyological Research,Icthyological Research
ICES Marine Science Symposium,ICES Marine Science Symposium
ICES J Mar. Sci,ICES J Mar. Sci
"Ice, George G","Ice, George G"
Ice and Climate News,Ice and Climate News
Icarus,Icarus
IBM Journal of Research and Development,IBM Journal of Research and Development
Ibis,Ibis
IAWA Bulletin n.s.,IAWA Bulletin n.s.
Hyrdrological Processes,Hyrdrological Processes
Hydrology Research,Hydrology Research
Hydrology and Earth System Sciences,Hydrology and Earth System Sciences
Hydrological Sciences Journal  (Journal des sciences hydrologiques),Hydrological Sciences Journal
Hydrological Sciences Journal,Hydrological Sciences Journal
Hydrological Sciences Bulletin,Hydrological Sciences Bulletin
Hydrological Science and Technology,Hydrological Science and Technology
Hydrological research basins and their use in water resource planning: proceedings of the international symposium,Hydrological research basins and their use in water resource planning: proceedings of the international symposium
HYDROLOGICAL PROCESSES,Hydrological Processes
Hydrological Processes,Hydrological Processes
Hydrological processes,Hydrological Processes
Hydrologic Processes,Hydrological Processes
Hydrol. Process,Hydrological Processes
Hydrol. Proc.,Hydrological Processes
Hydrogeology Journal,Hydrogeology Journal
Hydrobiologica,Hydrobiologica
Hydrobiologia.,Hydrobiologia
Hydrobiologia .,Hydrobiologia
Hydrobiologia,Hydrobiologia
Hydrobiol.,Hydrobiol.
Human Organization,Human Organization
Human Ecology Review,Human Ecology Review
Human Ecology,Human Ecology
Human Dimensions of Wildlife,Human Dimensions of Wildlife
Human-Wildlife Conflicts,Human-Wildlife Conflicts
"Hubbard Brook Research Foundation, Science Links Publication","Hubbard Brook Research Foundation, Science Links Publication"
"Housing, Theory and Society","Housing, Theory and Society"
Housing Studies,Housing Studies
HortScience,HortScience
Hortscience,HortScience
Hormones and Behavior,Hormones and Behavior
Holocene,Holocene
Holarctic Lepidoptera,Holarctic Lepidoptera
Holarctic Ecology,Holarctic Ecology
Holarct. Ecol.,Holarctic Ecology
Hitachi Instrument News,Hitachi Instrument News
Historical Geography,Historical Geography
Hikobia,Hikobia
High Country News,High Country News
Hidrobiologica,Hidrobiologica
Herpetological Review,Herpetological Review
Herpetologica,Herpetologica
Heredity,Heredity
Harvard Forest Paper No. 25,Harvard Forest Paper No. 25
Harvard Forest Paper No. 23,Harvard Forest Paper No. 23
Harmful Algae,Harmful Algae
"H. Lambers, H. Poorter, and M. Van Vureen, editors, Inherent variation in plant growth. Backhuys Publishers, Leiden, Netherlands.","H. Lambers, H. Poorter, and M. Van Vureen, editors, Inherent variation in plant growth. Backhuys Publishers, Leiden, Netherlands."
H. Environ. Sci. Technol.,H. Environ. Sci. Technol.
Guidelines for regenerating Appalachian hardwood stands: proceedings of a workshop (SAF Publ,Guidelines for regenerating Appalachian hardwood stands: proceedings of a workshop (SAF Publ
GSA Bulletin,GSA Bulletin
"Growing Tomorrow, Agriculture in Wyoming, Casper Star Tribune","Growing Tomorrow, Agriculture in Wyoming, Casper Star Tribune"
Groundwater,Ground Water
Ground Water Monitoring Review,Ground Water Monitoring Review
Ground Water Monitoring and Remediation,Ground Water Monitoring and Remediation
Ground Water Monitoring \& Remediation,Ground Water Monitoring and Remediation
Ground Water,Ground Water
Ground water,Ground water
GRL,GRL
"Greenland, David; Goodin, Douglass G","Greenland, David; Goodin, Douglass G"
Great Plains Research,Great Plains Research
Great Lakes Entomologist,Great Lakes Entomologist
Great Basin Naturalist,Great Basin Naturalist
"Grassroots, Newsletter of the Grassland Society of Southern Africa","Grassroots, Newsletter of the Grassland Society of Southern Africa"
Grassland Science,Grassland Science
Grass and Forage Science,Grass and Forage Science
Grana,Grana
Government Information Quarterly,Government Information Quarterly
Glocal Change Biology,Glocal Change Biology
Global networks for environmental information: Proceedings of Eco-Informa {\textquoteright}96,Global networks for environmental information: Proceedings of Eco-Informa {\textquoteright}96
Global iogeochem. Cycles,Global iogeochem. Cycles
Global Glimpses,Global Glimpses
Global Environmental Change,Global Environmental Change
Global Energy and Water Cycle Conference,Global Energy and Water Cycle Conference
Global Ecology and Biogeography Letter,Global Ecology and Biogeography Letter
Global Ecology and Biogeography,Global Ecology and Biogeography
Global Ecology \& Biogeography,Global Ecology and Biogeography
Global Change Science,Global Change Science
"Global Change newsletter, The International Geosphere-Biosphere Programme",Global Change Newsletter (IGBP)
Global Change Newsletter (IGBP),Global Change Newsletter (IGBP)
Global Change Biology [Global Change Biol.],Global Change Biology
Global Change Biology,Global Change Biology
Global BioGiochem cycles,Global Biogeochemical Cycles
Global Biogeochemistry Cycles,Global Biogeochemical Cycles
Global Biogeochemical Cycles,Global Biogeochemical Cycles
Global Biogeochem. Cycles,Global Biogeochemical Cycles
Global Biogeochem,Global Biogeochem
"Global and Planetary Change, Speacial Issue",Global and Planetary Change
Global and Planetary Change,Global and Planetary Change
GIScience \& Remote Sensing,GIScience and Remote Sensing
GIS/LIS Proceedings,GIS/LIS Proceedings
Gis World,Gis World
Geotimes,Geotimes
Georgia Review,Georgia Review
Georgia Journal of Science,Georgia Journal of Science
GeoResearch Forum,GeoResearch Forum
Geophysics,Geophysics
Geophysical Research Letters,Geophysical Research Letters
Geophysical Research Abstracts,Geophysical Research Abstracts
Geophysical Research - Biogeosciences,Geophysical Research: Biogeosciences
Geophysical Monographs,Geophysical Monographs
Geophys. Res. Letters,Geophysical Research Letters
Geophys. Res. Lett.,Geophysical Research Letters
Geophys. Res. Lett,Geophysical Research Letters
Geophys. Res Letts.,Geophysical Research Letters
Geomorphology,Geomorphology
Geomicrobiology Journal,Geomicrobiology Journal
Geology,Geology
"Geological Society of America, Abs. w. Prog.","Geological Society of America, Abs. w. Prog."
Geological Society of America Special Paper 416,Geological Society of America Special Paper 416
Geological Society of America Bulletin,Geological Society of America Bulletin
Geological Society of America,Geological Society of America
GeoInfoSystems,GeoInfoSystems
Geography Review,Geography Review
Geography Compass,Geography Compass
Geographie physique et Quaternaire,Geographie physique et Quaternaire
Geographical Journal,Geographical Journal
Geographical Bulletin,Geographical Bulletin
Geographic Information Sciences,Geographic Information Sciences
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY
Geografiska Annaler,Geografiska Annaler
GEODERMA,Geoderma
Geoderma,Geoderma
Geoderm,Geoderma
Geochimistry Cosmochimistry Acta,Geochimica et Cosmochimica Acta
"Geochimica et Cosmochimica Acta, Supplement",Geochimica et Cosmochimica Acta
Geochimica Et Cosmochimica Acta,Geochimica et Cosmochimica Acta
Geochimica et Cosmochimica Acta,Geochimica et Cosmochimica Acta
Geochim. Cosmochim. Acta,Geochimica et Cosmochimica Acta
Geochim. Cosmoch. Acta,Geochimica et Cosmochimica Acta
Geochim Cosmochim Acta,Geochimica et Cosmochimica Acta
Geochemica et Cosmochimica Acta,Geochimica et Cosmochimica Acta
Geochemica et Cosmochemica Acta,Geochimica et Cosmochimica Acta
Geochemica Cosmochemica Acta,Geochimica et Cosmochimica Acta
GeoCarto International,GeoCarto International
Geocarto International,GeoCarto International
Geoarchaeology,Geoarchaeology
Geo Info Systems,Geo Info Systems
Geo-Marine Letters,Geo-Marine Letters
Genome,Genome
Genetics Society of America,Genetics Society of America
General and Comparative Endrocrinology,General and Comparative Endrocrinology
Gen,Gen
Gayana Botanica,Gayana Botanica
Garden,Garden
"G. P. Robertson, C. S. Bledsoe, D. C. Coleman and P. Sollins (eds). Standard Soil Methods for Long-Term Ecological Research. Oxford University Press, New York.","G. P. Robertson, C. S. Bledsoe, D. C. Coleman and P. Sollins (eds). Standard Soil Methods for Long-Term Ecological Research. Oxford University Press, New York."
"G. Daily, ed., Nature{\textquoteright}s Services: Societal Dependence on Natural Ecosystems. Island Press, Washington, D.C.","G. Daily, ed., Nature{\textquoteright}s Services: Societal Dependence on Natural Ecosystems. Island Press, Washington, D.C."
Futures,Futures
Fungal Diversity,Fungal Diversity
Fundamental and Applied Limnology,Fundamental and Applied Limnology
FUNCTIONAL PLANT BIOLOGY,Functional Plant Biology
Functional Plant Biology,Functional Plant Biology
FUNCTIONAL ECOLOGY,Functional Ecology
Functional Ecology,Functional Ecology
Functinal Ecology,Functional Ecology
Frontiers in Ecology and the Environment.,Frontiers in Ecology and the Environment
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,Frontiers in Ecology and the Environment
Frontiers in Ecology and the Environment,Frontiers in Ecology and the Environment
Frontiers in Ecology and Evolution,Frontiers in Ecology and Evolution
Frontiers in Ecology and Environment,Frontiers in Ecology and the Environment
Frontiers in Ecology,Frontiers in Ecology
Front. Ecol. Environ.,Frontiers in Ecology and the Environment
Freshwater wetlands and wildlife: DOE Symposium Series No,Freshwater wetlands and wildlife: DOE Symposium Series No
Freshwater Invertebrate Biology,Freshwater Invertebrate Biology
Freshwater Invertabrate Biology,Freshwater Invertabrate Biology
Freshwater Biology.,Freshwater Biology
Freshwater Biology,Freshwater Biology
Freshwat. Biol.,Freshwater Biology
Forests: fresh perspectives from ecosystem analysis: proceedings of the 40th annual biology colloquium,Forests: fresh perspectives from ecosystem analysis: proceedings of the 40th annual biology colloquium
Forests: fresh perspective from ecosystem analysis,Forests: fresh perspective from ecosystem analysis
Forestry Research West,Forestry Research West
Forestry Ecology and Management 2003,Forestry Ecology and Management
Forestry Ecology and Management,Forestry Ecology and Management
Forestry Chronicle,Forestry Chronicle
Forestry,Forestry
Forest World,Forest World
Forest Watch,Forest Watch
Forest soils and land use: Proceedings of the fifth North American forest soils conference,Forest soils and land use: Proceedings of the fifth North American forest soils conference
Forest Science,Forest Science
Forest Sci,Forest Science
Forest Policy and Economics,Forest Policy and Economics
Forest Planning Canada,Forest Planning Canada
Forest Perspectives,Forest Perspectives
Forest Notes,Forest Notes
Forest Magazine,Forest Magazine
Forest hydrogology and watershed management: proceedings of an international symposium held during the XIXth General Assembly of the International Union of Geodesy and Geophysics,Forest hydrogology and watershed management: proceedings of an international symposium held during the XIXth General Assembly of the International Union of Geodesy and Geophysics
Forest History Today Fall,Forest History Today Fall
Forest Ecology and Mangement,Forest Ecology and Management
Forest Ecology and Management,Forest Ecology and Management
Forest Ecology and  Management,Forest Ecology and Management
Forest Ecology \& Management,Forest Ecology and Management
For. Ecol. Manage.,Forest Ecology and Management
Folia Geobotanica,Folia Geobotanica
"Folia Geobot.Phytotax, Praha","Folia Geobot.Phytotax, Praha"
Folia Entomol{\'o}gica Mexicana,Folia Entomologica Mexicana
Fishery Bulletin,Fisheries Bulletin
Fisheries Oceanography,Fisheries Oceanography
Fisheries Management and Ecology,Fisheries Management and Ecology
Fisheries Bulletin,Fisheries Bulletin
Fisheries,Fisheries
Fish and Fisheries,Fish and Fisheries
"Fire and forest meteorology: proceedings of the 12th  international conference on fire and forest meteorology; 1993 October  26-28; Jekyll Island, Georgia","Fire and forest meteorology: proceedings of the 12th  international conference on fire and forest meteorology; 1993 October  26-28; Jekyll Island, Georgia"
Finnish Fisheries Research,Finnish Fisheries Research
Final report on project NAG 5-1846 to NASA.,Final report on project NAG 5-1846 to NASA.
Field Methods,Field Methods
"Fertilizers \& Agriculture, International Fertilizer Industry Association, Paris","Fertilizers and Agriculture, International Fertilizer Industry Association, Paris"
Fertility Research,Fertility Research
FEMS Yeast Research,FEMS Yeast Research
FEMS Microbiology Letters,FEMS Microbiology Letters
FEMS Microbiology Ecology,FEMS Microbiology Ecology
FEMs Microbiology Ecology,FEMS Microbiology Ecology
Fems Microbiology Ecology,FEMS Microbiology Ecology
FEMS Microbiological Ecology,FEMS Microbiology Ecology
FEMS Microbial Ecology,FEMS Microbiology Ecology
Farm Foundation Speakers{\textquoteright} Meeting,Farm Foundation Speakers{\textquoteright} Meeting
Extremophiles,Extremophiles
Experimental Animals,Experimental Animals
Experimental and Applied Acarology,Experimental and Applied Acarology
Experientia,Experientia
Exp Mar Biol. Ecol.,Exp Mar Biol. Ecol.
Executive Summary,Executive Summary
Evolutionary Trends in Plants,Evolutionary Trends in Plants
Evolutionary Ecology Research,Evolutionary Ecology Research
Evolutionary Ecology,Evolutionary Ecology
Evolution,Evolution
Evansia,Evansia
"Evans, J","Evans, J"
European Journal of Soil Science,European Journal of Soil Science
European Journal of Soil Ecology,European Journal of Soil Ecology
European Journal of Soil Biology,European Journal of Soil Biology
European Journal of Plant Pathology,European Journal of Plant Pathology
European Journal of Forest Research,European Journal of Forest Research
European Journal of Forest Pathology,European Journal of Forest Pathology
European Journal of Entomology,European Journal of Entomology
European J. of Soil Science,European Journal of Soil Science
Eurasian Journal of Forest Research,Eurasian Journal of Forest Research
Eur. J. of Phycol.,Eur. J. of Phycol.
Ethology,Ethology
"Estuarine, Coastal, and Shelf Science","Estuarine, Coastal, and Shelf Science"
"Estuarine, Coastal Shelf Sci.","Estuarine, Coastal, and Shelf Science"
"Estuarine, Coastal and Shelf Science","Estuarine, Coastal, and Shelf Science"
"Estuarine, Coastal and Shelf Research","Estuarine, Coastal, and Shelf Science"
Estuarine Coastal and Shelf Science,"Estuarine, Coastal, and Shelf Science"
Estuarine and Coastal Shelf Science,"Estuarine, Coastal, and Shelf Science"
"Estuaries, Coastal and Shelf Science","Estuarine, Coastal, and Shelf Science"
Estuaries and Coasts,Estuaries and Coasts
Estuaries and  Coasts,Estuaries and Coasts
Estuaries,Estuaries
Erdkunde,Erdkunde
"EPA/NCSU National Acid Precipitation Assessment Program Effects Research Review, Raleigh, NC, February 21-24, 1983","EPA/NCSU National Acid Precipitation Assessment Program Effects Research Review, Raleigh, NC, February 21-24, 1983"
"EOS, Transactions, American Geophysical Union","EOS, Transactions, American Geophysical Union"
"Eos, Transactions, American Geophysical Union","EOS, Transactions, American Geophysical Union"
"EOS, Transactions of the American Geophysical Union","EOS, Transactions, American Geophysical Union"
"EOS, Transactions American Geophysical Union","EOS, Transactions, American Geophysical Union"
"Eos, Transactions American Geophysical Union","EOS, Transactions, American Geophysical Union"
"EOS, Trans.  AGU","EOS, Transactions, American Geophysical Union"
"EOS Transactions, American Geophysical Union","EOS, Transactions, American Geophysical Union"
Eos 77,"EOS, Transactions, American Geophysical Union"
EOS,"EOS, Transactions, American Geophysical Union"
Eos,"EOS, Transactions, American Geophysical Union"
Environmetrics,Environmetrics
Environmental Toxicology and Chemistry,Environmental Toxicology and Chemistry
Environmental Science and Technology,Environmental Science and Technology
Environmental Science and Policy,Environmental Science and Policy
ENVIRONMENTAL SCIENCE \& TECHNOLOGY,Environmental Science and Technology
Environmental Science \& Technology,Environmental Science and Technology
Environmental Science \& Policy,Environmental Science and Policy
Environmental Science  and Technology,Environmental Science and Technology
Environmental Reviews,Environmental Reviews
Environmental Review,Environmental Reviews
Environmental Research Letters,Environmental Research Letters
Environmental Research,Environmental Research
Environmental Practice,Environmental Practice
Environmental Pollution,Environmental Pollution
Environmental Monitoring Assessment,Environmental Monitoring and Assessment
Environmental Monitoring and Assessment,Environmental Monitoring and Assessment
Environmental Monitoring \& Assessment,Environmental Monitoring and Assessment
Environmental Modelling and Software,Environmental Modelling and Software
Environmental Modelling \& Software,Environmental Modelling and Software
Environmental Modeling and Software,Environmental Modelling and Software
Environmental Modeling \& Software,Environmental Modelling and Software
Environmental Modeling \& Assessment,Environmental Modeling and Assessment
Environmental Microbiology.,Environmental Microbiology
Environmental Microbiology Reports,Environmental Microbiology Reports
Environmental Microbiology,Environmental Microbiology
Environmental Management,Environmental Management
Environmental Justice,Environmental Justice
Environmental History Review,Environmental History Review
Environmental History,Environmental History
Environmental Hazards: Human and Policy Dimensions,Environmental Hazards: Human and Policy Dimensions
Environmental Hazards,Environmental Hazards
Environmental Geochemistry and Health.,Environmental Geochemistry and Health.
Environmental Fluid Mechanics,Environmental Fluid Mechanics
Environmental Entomology,Environmental Entomology
Environmental Entomolog,Environmental Entomology
Environmental Engineering Science,Environmental Engineering Science
Environmental Education Research,Environmental Education Research
Environmental Education and Information,Environmental Education and Information
Environmental Development,Environmental Development
Environmental Conservation,Environmental Conservation
Environmental Communication,Environmental Communication
Environmental Chemistry,Environmental Chemistry
Environmental Biology of Fishes,Environmental Biology of Fishes
Environmental Biology of Fish,Environmental Biology of Fishes
Environmental and Resource Economics,Environmental and Resource Economics
Environmental and Experimental Botany,Environmental and Experimental Botany
Environmental \& Engineering Geoscience,Environmental and Engineering Geoscience
Environmental  Pollution,Environmental  Pollution
"Environment, Development and Sustainability","Environment, Development and Sustainability"
Environment and Planning B,Environment and Planning B
Environment and Behavior,Environment and Behavior
Environment,Environment
Environ. Sci. Technol.,Environmental Sci. Technol.
Environ. Reviews,Environmental Reviews
Environ. Pollution,Environmental Pollution
Environ. Pollut,Environmental Pollut
Environ. Management,Environmental Management
Environ. Manage,Environmental Management
Environ. Health Perspectives,Environmental Health Perspectives
Environ. Geochem. Health,Environmental Geochem. Health
Environ. Exp. Bot,Environmental and Experimental Botany
Environ. Entomol.,Environmental Entomology
Environ. Entom.,Environmental Entomology
"Environ. Biogeochemistry, Ecol. Bull (Stockholm)","Environmental Biogeochemistry, Ecol. Bull (Stockholm)"
Environ. And Exp. Botany,Environmental and Experimental Botany
Entomology (Trends in Agriculture Science),Entomology (Trends in Agriculture Science)
Entomological Society of America,Entomological Society of America
Entomological News,Entomological News
Entomological Experimental Applications,Entomological Experimental Applications
Entomologica Scandinavica,Entomologica Scandinavica
Entomologica Scandinavia Supplement,Entomologica Scandinavia Supplement
Entomologia Experimentalis et Applicata,Entomologia Experimentalis et Applicata
"Engstrom, R","Engstrom, R"
Energy,Energy
Endangered Species Research,Endangered Species Research
Encyclopedia of life sciences,Encyclopedia of life sciences
Emerging Infectious Diseases,Emerging Infectious Diseases
"Elsivier Science Publishers, Amsterdam","Elsivier Science Publishers, Amsterdam"
Elsevier{\textquoteright}s Ecological Modelling,Elsevier{\textquoteright}s Ecological Modelling
Elsevier,Elsevier
EKOLOGIA-BRATISLAVA,EKOLOGIA-BRATISLAVA
Effects of acid precipitation in terrestrial ecosystems: Proceedings of the symposium,Effects of acid precipitation in terrestrial ecosystems: Proceedings of the symposium
Ecotropicos,Ecotropicos
Ecotropica,Ecotropica
Ecosystems.,Ecosystems
Ecosystems,Ecosystems
Ecosystem Health.V.1 Environmental Management,Ecosystem Health
Ecosystem Health,Ecosystem Health
Ecosphere,Ecosphere
Ecosistemas,Ecosistemas
Ecoscience,Ecoscience
Ecoloy,Ecology
Ecology.,Ecology
Ecology of Freshwater Fish,Ecology of Freshwater Fish
ECOLOGY LETTERS,Ecology Letters
Ecology Letters,Ecology Letters
Ecology International Bulletin,Ecology International Bulletin
Ecology International,Ecology International
Ecology and Society,Ecology and Society
Ecology and Evolution,Ecology and Evolution
"Ecology 79:1118-1119. Book Review of P. R. Ehrlich, A World of Wounds: Ecologists and the Human Dilemma, 1997.",Ecology
ECOLOGY,Ecology
Ecology,Ecology
"Ecological Studies, Vol",Ecological Studies
Ecological Studies  61,Ecological Studies
Ecological Studies,Ecological Studies
Ecological Society of American Bulletin,Ecological Society of American Bulletin
Ecological Restoration,Ecological Restoration
Ecological Research,Ecological Research
"Ecological Processes, 2:3",Ecological Processes
Ecological Monographs [ECOL. MONOGR.],Ecological Monographs
Ecological Monographs [Ecol. Monogr.],Ecological Monographs
Ecological Monographs,Ecological Monographs
Ecological Monograms,Ecological Monographs
Ecological Modelling.,Ecological Modelling
Ecological Modelling,Ecological Modelling
Ecological Modeling,Ecological Modelling
Ecological Model,Ecological Modelling
Ecological Letters,Ecological Letters
Ecological Issues,Ecological Issues
Ecological Informatics,Ecological Informatics
Ecological Indicators,Ecological Indicators
Ecological Entomology,Ecological Entomology
Ecological Engineering,Ecological Engineering
Ecological Economics,Ecological Economics
Ecological Complexity,Ecological Complexity
Ecological Bulletins (Copenhagen),Ecological Bulletins
Ecological Bulletins,Ecological Bulletins
Ecological Bulletin,Ecological Bulletins
"Ecological Applications, 19(4)",Ecological Applications
Ecological Applications [Ecol. Appl.],Ecological Applications
ECOLOGICAL APPLICATIONS,Ecological Applications
Ecological Applications,Ecological Applications
Ecological Aplications,Ecological Applications
Ecological Anthropology,Ecological Anthropology
"Ecol. Soc. Amer. Bulletin, in press.",Ecolological Society of America Bulletin
Ecol. Soc. Amer.,Ecolological Society of America Bulletin
Ecol. Monogr.,Ecolological Monographs
Ecol. Modelling,Ecolological Modelling
Ecol. Lett.,Ecolological Letters
Ecol. Economics,Ecolological Economics
Ecol. Appl.,Ecolological Applications
Ecol.,Ecol.
Ecol,Ecol
Ecohydrology,Ecohydrology
Ecohealth,Ecohealth
Ecography,Ecography
Earth System Dynamics,Earth System Dynamics
Earth Surface Processes and Landforms,Earth Surface Processes and Landforms
Earth Surface Processes,Earth Surface Processes
Earth Surface Porcesses and Landforms,Earth Surface Processes and Landforms
Earth Surface and Landforms,Earth Surface Processes and Landforms
Earth Observing Magazine,Earth Observing Magazine
Earth Interactions,Earth Interactions
Earth Imaging Journal,Earth Imaging Journal
Earth Cryosphere,Earth Cryosphere
Earth and Planetary Science Letters,Earth and Planetary Science Letters
"E.M. Perdue and E.T. Gjessing (eds). Organic Acids in Aquatic Ecosystems. Dahlem Konferenzen. John Wiley \& Sons Ltd., Chichester.","E.M. Perdue and E.T. Gjessing (eds). Organic Acids in Aquatic Ecosystems. Dahlem Konferenzen. John Wiley and Sons Ltd., Chichester."
"Doctoral Dissertation, Michigan State University","Doctoral Dissertation, Michigan State University"
Diversity and Distributions,Diversity and Distributions
Diversity,Diversity
"Dissmeyer, G","Dissmeyer, G"
Diseases of Aquatic Organisms,Diseases of Aquatic Organisms
Discovery processes and scientific productivity: symposium celebrating the 20th anniversary of the Department of Entomology at Virginia Polytechnic Institute and State University,Discovery processes and scientific productivity: symposium celebrating the 20th anniversary of the Department of Entomology at Virginia Polytechnic Institute and State University
Discover,Discover
Dimensions CSUF Undergraduate Research Journal,Dimensions CSUF Undergraduate Research Journal
Diatom Research,Diatom Research
Development Discussion Paper No. 608,Development Discussion Paper No. 608
Desert Plants,Desert Plants
Dendrochronologia,Dendrochronologia
Deep Sea Research Part II,Deep Sea Research Part II
Deep Sea Research II,Deep Sea Research Part II
"Deep-Sea Research, Part II",Deep Sea Research Part II
Deep-Sea Research Part II- Topical Studies in Oceanography,Deep Sea Research Part II
Deep-Sea Research Part II,Deep Sea Research Part II
Deep-Sea Research Part I,Deep-Sea Research Part I
Deep-Sea Research II:  Special Series Palmer Long-Term Ecological Research,Deep Sea Research Part II
Deep-Sea Research II,Deep Sea Research Part II
Deep-Sea Research I,Deep Sea Research Part I
Deep-Sea Research,Deep Sea Research
Data and information management in the ecological sciences: a resource guide,Data and information management in the ecological sciences: a resource guide
"D. Tilman and P. Kareiva, eds., Spatial Ecology: The Role of Space in Population Dynamics and Interspecific Interactions. Princeton University Press, New Jersey.","D. Tilman and P. Kareiva, eds., Spatial Ecology: The Role of Space in Population Dynamics and Interspecific Interactions. Princeton University Press, New Jersey."
"D. Eldridge and D. Freudenberger (eds). People and Rangelands Building the Future. Proceedings of the VI International Rangeland Congress. Townsville, Australia.","D. Eldridge and D. Freudenberger (eds). People and Rangelands Building the Future. Proceedings of the VI International Rangeland Congress. Townsville, Australia."
"D. D. Smith and C. A. Jacobs, Eds., Proceedings of the Twelfth North American Prairie Conference. University of Northern Iowa Press, Cedar Falls, IA.","D. D. Smith and C. A. Jacobs, Eds., Proceedings of the Twelfth North American Prairie Conference. University of Northern Iowa Press, Cedar Falls, IA."
D,D
Current Opinion in Environmental Sustainability,Current Opinion in Environmental Sustainability
Current History,Current History
Crustaceana Monographs,Crustaceana Monographs
Crustaceana,Crustaceana
Crop Science,Crop Science
Crop Sci.,Crop Science
Crop Protection,Crop Protection
Critical Reviews in Environmental Science and Technology,Critical Reviews in Environmental Science and Technology
"Cresser, M","Cresser, M"
"Crawley, M. ed., Plant Ecology. Blackwell Scientific Publications, Oxford.","Crawley, M. ed., Plant Ecology. Blackwell Scientific Publications, Oxford."
"Cow Country, Winter 2009","Cow Country, Winter 2009"
Coral Reefs,Coral Reefs
Copeia,Copeia
Contributions to Atmospheric Physics,Contributions to Atmospheric Physics
Contributions in Science,Contributions in Science
Contributions in Marine Science,Contributions in Marine Science
Continental Shelf Research,Continental Shelf Research
Continental shelf Research,Continental Shelf Research
Continental-Shelf Research,Continental Shelf Research
Contemporary Herpetology,Contemporary Herpetology
Cont. Shelf Res.,Continental Shelf Research
Conservation In Practice,Conservation In Practice
Conservation Genetics Resources,Conservation Genetics Resources
Conservation Genetics,Conservation Genetics
"Conservation Ecology: online, http:;www.ecologyandsociety.org",Conservation Ecology
Conservation Ecology [online]1(1):4.,Conservation Ecology
Conservation Ecology,Conservation Ecology
Conservation Biology Vol,Conservation Biology
Conservation Biology Letters of Hungary,Conservation Biology Letters of Hungary
Conservation Biology,Conservation Biology
Conseration Biology,Conservation Biology
Congresso Nazionale della Societ,Congresso Nazionale della Societ
Conference: Riparian ecosystems in the humbid U,Conference: Riparian ecosystems in the humbid U
"Conference Proceedings, Land Stewardship in the 21st Century: The Contributions of Watershed ManagemConference Proceedings","Conference Proceedings, Land Stewardship in the 21st Century: The Contributions of Watershed ManagemConference Proceedings"
Condor,Condor
Computing in Science and Engineering,Computing in Science and Engineering
"Computers, Environment and Urban Systems","Computers, Environment and Urban Systems"
Computers and Electronics in Agriculture,Computers and Electronics in Agriculture
Computers \& Geosciences,Computers and Geosciences
Computer Applications,Computer Applications
Comptes Rendus Biologies,Comptes Rendus Biologies
Compte Rendus,Compte Rendus
